"Date","russell"
2020-03-26,"1,517.57"
2020-03-27,"1,466.36"
2020-03-30,"1,512.39"
2020-03-31,"1,489.57"
2020-04-01,"1,420.27"
2020-04-02,"1,449.52"
2020-04-03,"1,425.07"
2020-04-06,"1,527.21"
2020-04-07,"1,526.54"
2020-04-08,"1,581.13"
2020-04-09,"1,609.07"
2020-04-13,"1,590.32"
2020-04-14,"1,637.83"
2020-04-15,"1,599.48"
2020-04-16,"1,607.03"
2020-04-17,"1,653.16"
2020-04-20,"1,625.07"
2020-04-21,"1,575.50"
2020-04-22,"1,610.54"
2020-04-23,"1,611.46"
2020-04-24,"1,634.12"
2020-04-27,"1,663.35"
2020-04-28,"1,657.17"
2020-04-29,"1,705.32"
2020-04-30,"1,684.95"
2020-05-01,"1,635.59"
2020-05-04,"1,643.20"
2020-05-05,"1,658.61"
2020-05-06,"1,647.92"
2020-05-07,"1,669.09"
2020-05-08,"1,700.52"
2020-05-11,"1,700.03"
2020-05-12,"1,662.81"
2020-05-13,"1,630.37"
2020-05-14,"1,648.61"
