Date,Close,Change,Binary,Date_Range_of_Senti_Score,Simple,Vader
2020-04-01,7360.58,-339,0,2020-03-30 to 2020-04-01,0.07967225563953147,0.13456693412035023
2020-04-02,7487.31,126,1,2020-03-31 to 2020-04-02,0.07484960900843768,0.13365857659303917
2020-04-03,7373.08,-114,0,2020-04-01 to 2020-04-03,0.07882833207618699,0.13453578348662806
2020-04-06,7913.24,540,1,2020-04-04 to 2020-04-06,0.08432768967356118,0.1251927034085689
2020-04-07,7887.26,-25,0,2020-04-05 to 2020-04-07,0.08848114551164439,0.12698142591769093
2020-04-08,8090.9,203,1,2020-04-06 to 2020-04-08,0.09349060913455647,0.13290777930488565
2020-04-09,8153.58,62,1,2020-04-07 to 2020-04-09,0.09460414322246223,0.13516420250522862
2020-04-13,8192.42,38,1,2020-04-11 to 2020-04-13,0.09726907369239139,0.13539759451431535
2020-04-14,8515.74,323,1,2020-04-12 to 2020-04-14,0.08596370485623563,0.12954488071626802
2020-04-15,8393.18,-122,0,2020-04-13 to 2020-04-15,0.07836008536224183,0.12233934774828314
2020-04-16,8532.36,139,1,2020-04-14 to 2020-04-16,0.09539909063671202,0.1409325526644514
2020-04-17,8650.14,117,1,2020-04-15 to 2020-04-17,0.10779177218310361,0.1454489754286662
2020-04-20,8560.73,-89,0,2020-04-18 to 2020-04-20,0.09617365408692317,0.1349869537851914
2020-04-21,8263.23,-297,0,2020-04-19 to 2020-04-21,0.08861789227817436,0.1315278086919778
2020-04-22,8495.38,232,1,2020-04-20 to 2020-04-22,0.08175434763514694,0.13149087563248252
2020-04-23,8494.75,0,1,2020-04-21 to 2020-04-23,0.09322927249192815,0.13901098199318493
2020-04-24,8634.52,139,1,2020-04-22 to 2020-04-24,0.1101020498089091,0.14372251595434818
2020-04-27,8730.16,95,1,2020-04-25 to 2020-04-27,0.10847166972165938,0.14220661814425753
2020-04-28,8607.73,-122,0,2020-04-26 to 2020-04-28,0.1059833755274779,0.13364437900485068
2020-04-29,8914.71,306,1,2020-04-27 to 2020-04-29,0.11154865785000374,0.13332050784176933
2020-04-30,8889.55,-25,0,2020-04-28 to 2020-04-30,0.10871198601990863,0.1432824033012082
