Effective date ,S&P 500,change,percentage change,Gain (Binary)
19/03/2018,2712.92,,,
20/03/2018,2716.94,4.02,0.001481798,1
21/03/2018,2711.93,-5.01,-0.001843986,0
22/03/2018,2643.69,-68.24,-0.025162891,0
23/03/2018,2588.26,-55.43,-0.020966906,0
26/03/2018,2658.55,70.29,0.027157241,1
27/03/2018,2612.62,-45.93,-0.017276335,0
28/03/2018,2605,-7.62,-0.002916612,0
29/03/2018,2640.87,35.87,0.013769674,1
02/04/2018,2581.88,-58.99,-0.022337336,0
03/04/2018,2614.45,32.57,0.012614839,1
04/04/2018,2644.69,30.24,0.011566486,1
05/04/2018,2662.84,18.15,0.006862808,1
06/04/2018,2604.47,-58.37,-0.021920205,0
09/04/2018,2613.16,8.69,0.003336571,1
10/04/2018,2656.87,43.71,0.016726875,1
11/04/2018,2642.19,-14.68,-0.005525299,0
12/04/2018,2663.99,21.8,0.008250731,1
13/04/2018,2656.3,-7.69,-0.002886647,0
16/04/2018,2677.84,21.54,0.008109024,1
17/04/2018,2706.39,28.55,0.010661578,1
18/04/2018,2708.64,2.25,0.000831366,1
19/04/2018,2693.13,-15.51,-0.005726121,0
20/04/2018,2670.14,-22.99,-0.008536536,0
23/04/2018,2670.29,0.15,5.61768E-05,1
24/04/2018,2634.56,-35.73,-0.013380569,0
25/04/2018,2639.4,4.84,0.001837119,1
26/04/2018,2666.94,27.54,0.01043419,1
27/04/2018,2669.91,2.97,0.001113636,1
30/04/2018,2648.05,-21.86,-0.008187542,0
01/05/2018,2654.8,6.75,0.002549046,1
02/05/2018,2635.67,-19.13,-0.007205816,0
03/05/2018,2629.73,-5.94,-0.002253696,0
04/05/2018,2663.42,33.69,0.012811201,1
07/05/2018,2672.63,9.21,0.00345796,1
08/05/2018,2671.92,-0.71,-0.000265656,0
09/05/2018,2697.79,25.87,0.009682176,1
10/05/2018,2723.07,25.28,0.009370633,1
11/05/2018,2727.72,4.65,0.001707631,1
14/05/2018,2730.13,2.41,0.000883522,1
15/05/2018,2711.45,-18.68,-0.006842165,0
16/05/2018,2722.46,11.01,0.004060558,1
17/05/2018,2720.13,-2.33,-0.000855844,0
18/05/2018,2712.97,-7.16,-0.002632227,0
21/05/2018,2733.01,20.04,0.007386739,1
22/05/2018,2724.44,-8.57,-0.003135737,0
23/05/2018,2733.29,8.85,0.003248374,1
24/05/2018,2727.76,-5.53,-0.002023203,0
25/05/2018,2721.33,-6.43,-0.002357246,0
29/05/2018,2689.86,-31.47,-0.011564198,0
30/05/2018,2724.01,34.15,0.012695828,1
31/05/2018,2705.27,-18.74,-0.006879564,0
01/06/2018,2734.62,29.35,0.010849194,1
04/06/2018,2746.87,12.25,0.004479599,1
05/06/2018,2748.8,1.93,0.000702618,1
06/06/2018,2772.35,23.55,0.008567375,1
07/06/2018,2770.37,-1.98,-0.000714196,0
08/06/2018,2779.03,8.66,0.003125936,1
11/06/2018,2782,2.97,0.001068718,1
12/06/2018,2786.85,4.85,0.00174335,1
13/06/2018,2775.63,-11.22,-0.004026051,0
14/06/2018,2782.49,6.86,0.002471511,1
15/06/2018,2779.66,-2.83,-0.001017075,0
