date,simple_score,simple_score_ma,vader_score,vader_score_ma,Effective date,S&P 500,change,percentage change,Gain (Binary)
01/04/2020,0.060227798,0.060227798,0.124734007,0.124734007,30/03/2020,2626.65,85.18,0.033516036,1
02/04/2020,0.079367965,0.069797881,0.140077996,0.132406002,31/03/2020,2584.59,-42.06,-0.016012792,0
03/04/2020,0.096889234,0.078828332,0.138795347,0.134535783,01/04/2020,2470.5,-114.09,-0.044142398,0
04/04/2020,0.085412862,0.087223353,0.125767928,0.134880424,02/04/2020,2526.9,56.4,0.022829387,1
05/04/2020,0.072244797,0.084848964,0.122790764,0.129118013,03/04/2020,2488.65,-38.25,-0.015137125,0
06/04/2020,0.09532541,0.08432769,0.127019418,0.125192703,06/04/2020,2663.68,175.03,0.070331304,1
07/04/2020,0.097873229,0.088481146,0.131134095,0.126981426,07/04/2020,2659.41,-4.27,-0.001603045,0
08/04/2020,0.087273188,0.093490609,0.140569824,0.132907779,08/04/2020,2749.98,90.57,0.034056426,1
09/04/2020,0.098666013,0.094604143,0.133788688,0.135164203,09/04/2020,2789.82,39.84,0.014487378,1
10/04/2020,0.108223756,0.098054319,0.153718562,0.142692358,13/04/2020,2761.63,-28.19,-0.010104595,0
11/04/2020,0.115308987,0.107399585,0.146091061,0.14453277,14/04/2020,2846.06,84.43,0.030572524,1
12/04/2020,0.126540405,0.116691049,0.156629918,0.152146514,15/04/2020,2783.36,-62.7,-0.022030456,0
13/04/2020,0.049957829,0.097269074,0.103471805,0.135397595,16/04/2020,2799.55,16.19,0.005816711,1
14/04/2020,0.08139288,0.085963705,0.12853292,0.129544881,17/04/2020,2874.56,75.01,0.026793592,1
15/04/2020,0.103729547,0.078360085,0.135013319,0.122339348,20/04/2020,2823.16,-51.4,-0.017880997,0
16/04/2020,0.101074845,0.095399091,0.159251419,0.140932553,21/04/2020,2736.56,-86.6,-0.030674847,0
17/04/2020,0.118570925,0.107791772,0.142082188,0.145448975,22/04/2020,2799.31,62.75,0.022930248,1
18/04/2020,0.106929519,0.108858429,0.135124134,0.145485914,23/04/2020,2797.8,-1.51,-0.000539419,0
19/04/2020,0.099666414,0.108388952,0.139168915,0.138791746,24/04/2020,2836.74,38.94,0.013918078,1
20/04/2020,0.08192503,0.096173654,0.130667813,0.134986954,27/04/2020,2878.48,41.74,0.014714073,1
21/04/2020,0.084262233,0.088617892,0.124746698,0.131527809,28/04/2020,2863.39,-15.09,-0.00524235,0
22/04/2020,0.07907578,0.081754348,0.139058116,0.131490876,29/04/2020,2939.51,76.12,0.026583874,1
23/04/2020,0.116349804,0.093229272,0.153228132,0.139010982,30/04/2020,2912.43,-27.08,-0.00921242,0
24/04/2020,0.134880565,0.11010205,0.1388813,0.143722516,01/05/2020,2830.71,-81.72,-0.028059043,0
25/04/2020,0.118528262,0.123252877,0.151454213,0.147854548,04/05/2020,2842.74,12.03,0.004249817,1
26/04/2020,0.099752372,0.1177204,0.15537084,0.148568785,05/05/2020,2868.44,25.7,0.009040574,1
27/04/2020,0.107134375,0.10847167,0.119794801,0.142206618,06/05/2020,2848.42,-20.02,-0.006979403,0
28/04/2020,0.111063379,0.105983376,0.125767496,0.133644379,07/05/2020,2881.19,32.77,0.011504624,1
29/03/2020,0.071138108,0.096445287,0.114108061,0.119890119,08/05/2020,2929.8,48.61,0.016871501,1
29/04/2020,0.116448219,0.099549902,0.154399227,0.131424928,11/05/2020,2930.32,0.52,0.000177487,1
30/03/2020,0.093835905,0.093807411,0.142803069,0.137103452,12/05/2020,2870.12,-60.2,-0.020543831,0
30/04/2020,0.09862436,0.102969495,0.149680487,0.148960928,13/05/2020,2820,-50.12,-0.017462684,0
31/03/2020,0.084953064,0.09247111,0.136163726,0.142882427,14/05/2020,2852.5,32.5,0.011524823,1
